,Brute Force,,,,Approximate,,,,Local Search,,,,
Dataset,Time(s),Sol.quality,Rel Error,Full Tour,Time(s),Sol.quality,Full Tour,Rel Error,Time(s) (Average over 15 runs),Sol.quality (Average over 15 runs),Sol Quality (Best),Full Tour,Rel Error
Atlanta,30,3775843,,No,0.000251,2488305.503,True ,,0.59,2020989.21,2003762.67,Yes,
Berlin,30,19718,,No,0.000717,10116.0145,True ,,0.88,8655.23,8266.54,Yes,
Boston,30,2244804,,No,0.000386,1107060.985,True ,,1.11,962891.77,903138.34,Yes,
Champaign,30,218074,,No,0.000642,64759.97099,True ,,0.88,61524.89,57515.4,Yes,
Cincinnati,30,277952,,Yes,0.000049,318225.126,True ,,0.45,277952.59,277952.59,Yes,
Denver,30,563620,,No,0.001864,129209.4243,True ,,1.47,131731.19,118465.14,Yes,
NYC,30,7239945,,No,0.001148,1927252.72,True ,,1.07,1878481.66,1727068.05,Yes,
Philadelphia,30,3710782,,No,0.000385,1697408.101,True ,,0.65,1464723.85,1395980.78,Yes,
Roanoke,30,6857992,,No,0.014199,796027.7963,True ,,2.59,1331114.45,1204307.41,Yes,
SanFrancisco,30,5604793,,No,0.002526,1085019.459,True ,,1.82,1258640.04,1166133.87,Yes,
Toronto,30,9219353,,No,0.002811,1652073.072,True ,,1.47,1939331.85,1644062.35,Yes,
UKansasState,30,62962,,Yes,0.000055,70316.52834,True ,,0.46,62962.31,62962.31,Yes,
UMissouri,30,668662,,No,0.003746,170426.8922,True ,,1.81,180701.67,168663.75,Yes,
